time_ns,found_result,
627115223,true,JAVA_RANDOM
782674192,true,JAVA_RANDOM
579456460,true,JAVA_RANDOM
575798637,true,JAVA_RANDOM
552142674,true,JAVA_RANDOM
598329892,true,JAVA_RANDOM
553670121,true,JAVA_RANDOM
562549873,true,JAVA_RANDOM
575433788,true,JAVA_RANDOM
580000888,true,JAVA_RANDOM
715146887,true,JAVA_RANDOM
694100809,true,JAVA_RANDOM
584938429,true,JAVA_RANDOM
551836875,true,JAVA_RANDOM
576961134,true,JAVA_RANDOM
602894093,true,JAVA_RANDOM
657606954,true,JAVA_RANDOM
790549357,true,JAVA_RANDOM
612546534,true,JAVA_RANDOM
568814401,true,JAVA_RANDOM
558866770,false,XORSHIFT128PLUS
549025711,false,XORSHIFT128PLUS
551262086,false,XORSHIFT128PLUS
554277831,false,XORSHIFT128PLUS
537857183,false,XORSHIFT128PLUS
597858333,false,XORSHIFT128PLUS
544408420,false,XORSHIFT128PLUS
585429698,false,XORSHIFT128PLUS
682609993,false,XORSHIFT128PLUS
626064886,false,XORSHIFT128PLUS
544241890,false,XORSHIFT128PLUS
642609523,false,XORSHIFT128PLUS
660224528,false,XORSHIFT128PLUS
605091039,false,XORSHIFT128PLUS
581634965,false,XORSHIFT128PLUS
608387842,false,XORSHIFT128PLUS
663426210,false,XORSHIFT128PLUS
598977690,false,XORSHIFT128PLUS
641572244,false,XORSHIFT128PLUS
632027154,false,XORSHIFT128PLUS
545640767,true,MERSENNE_TWISTER_PYTHON
539726350,true,MERSENNE_TWISTER_PYTHON
577765343,true,MERSENNE_TWISTER_PYTHON
539567509,true,MERSENNE_TWISTER_PYTHON
581659655,true,MERSENNE_TWISTER_PYTHON
539907909,true,MERSENNE_TWISTER_PYTHON
617126064,true,MERSENNE_TWISTER_PYTHON
555207198,true,MERSENNE_TWISTER_PYTHON
577441782,true,MERSENNE_TWISTER_PYTHON
578723181,true,MERSENNE_TWISTER_PYTHON
600144858,true,MERSENNE_TWISTER_PYTHON
668254951,true,MERSENNE_TWISTER_PYTHON
572744993,true,MERSENNE_TWISTER_PYTHON
572392544,true,MERSENNE_TWISTER_PYTHON
596501015,true,MERSENNE_TWISTER_PYTHON
589740748,true,MERSENNE_TWISTER_PYTHON
612658352,true,MERSENNE_TWISTER_PYTHON
658528862,true,MERSENNE_TWISTER_PYTHON
654962718,true,MERSENNE_TWISTER_PYTHON
537846014,true,MERSENNE_TWISTER_PYTHON
535739626,true,XOSHIRO128STARSTAR
550163798,true,XOSHIRO128STARSTAR
580052128,true,XOSHIRO128STARSTAR
577514473,true,XOSHIRO128STARSTAR
530539837,true,XOSHIRO128STARSTAR
550853667,true,XOSHIRO128STARSTAR
538616521,true,XOSHIRO128STARSTAR
572314764,true,XOSHIRO128STARSTAR
570340508,true,XOSHIRO128STARSTAR
522327024,true,XOSHIRO128STARSTAR
726180616,true,XOSHIRO128STARSTAR
668758601,true,XOSHIRO128STARSTAR
516952155,true,XOSHIRO128STARSTAR
608635971,true,XOSHIRO128STARSTAR
563503441,true,XOSHIRO128STARSTAR
619258810,true,XOSHIRO128STARSTAR
584156270,true,XOSHIRO128STARSTAR
613746111,true,XOSHIRO128STARSTAR
628537340,true,XOSHIRO128STARSTAR
680828616,true,XOSHIRO128STARSTAR
529413970,true,XOSHIRO256STARSTAR
515313688,true,XOSHIRO256STARSTAR
531203366,true,XOSHIRO256STARSTAR
532783054,true,XOSHIRO256STARSTAR
512248115,true,XOSHIRO256STARSTAR
515826407,true,XOSHIRO256STARSTAR
523395772,true,XOSHIRO256STARSTAR
552919102,true,XOSHIRO256STARSTAR
556057787,true,XOSHIRO256STARSTAR
505293519,true,XOSHIRO256STARSTAR
671018286,true,XOSHIRO256STARSTAR
704036590,true,XOSHIRO256STARSTAR
619025430,true,XOSHIRO256STARSTAR
552708484,true,XOSHIRO256STARSTAR
